LMPP/MPP,PreGM,MPP,GMP,Mast Cell,ProErythroid,Granulocytic,Megakaryocyte,Neutrophilic,CFUErythroid,HSC,Early Erythroid,Mast-cells,B-cells,Macrophage,Eosinophil
Ctla2a,Cebpe,Nusap1,F13a1,Cpa3,Gm15915,mt-Nd1,Gp1bb,Wfdc21,Cldn13,Sult1a1,Pdzph1,Gzmb,Mzb1,Plbd1,Epx
Myl10,Elane,Tubb5,Irf8,Ms4a2,Ces2g,mt-Cytb,Cavin2,Clec4a2,Rhd,Nupr1,Gm15915,Scin,Iglv1,Batf3,Prg3
H2afy,Mpo,Stmn1,Ly86,Csrp3,Car1,mt-Nd4,Rab27b,S100a8,Nxpe2,Procr,S100a10,Cma1,Iglc3,Ifi205,Ldhc
Gm5111,Prtn3,Tuba1b,Ms4a6c,Rnase12,Aqp1,Rpl32,Treml1,Fcnb,Hba-a2,Pdzk1ip1,Apoe,Hes1,Ly6d,Aif1,Prg2
Cd34,Ms4a3,Top2a,Tifab,Fcer1a,Tspo2,Rps14,F2rl2,Vcam1,Rhag,Trim47,Clec4d,Id2,Cd79a,Lgals3,Cebpe
Ap3s1,Ctsg,Hmgb2,Csf1r,Alox5,Klf1,Rpl41,Pf4,Trem3,Tmem56,Tgm2,Vamp5,Trbc1,Pou2af1,Phf11a,Rnase12
Lmo2,Plac8,Pimreg,Ctss,Lmo4,Ermap,Calr,Gp9,Cebpe,Add2,Cdkn1c,Optn,Tmprss7,Tnfrsf17,Xcr1,Cd63-ps
Cks2,Rgcc,Hist1h2ap,Emb,Cyp11a1,Atp1b2,Rps23,Pbx1,Cldn15,Sphk1,Gng11,Car1,Atp8b5,Iglv3,Ckb,Arsb
Lsp1,Sec61b,Birc5,BC035044,Hdc,Slc38a5,Rplp0,Nrgn,Hsd11b1,Crip2,Npdc1,Ccl17,AC153891.1,Epcam,Slamf8,Cd63
Ptprcap,Anxa3,Ube2c,Tpm4,Gata2,Tmsb4x,Rpl34,Gp5,Mgst2,Ctse,Nkx2-3,Csrp3,Rab19,Cacna1s,Pid1,Ms4a3
9030619P08Rik,Hp,H2afx,Ighm,Gm11697,Prss50,Rps27,Itga2b,Pglyrp1,Tspan8,Mecom,Rec114,Lmo4,Wnt10a,Col23a1,Cpa3
Hsp90b1,Alas1,Pbk,Ifi209,Fam129a,Mt2,Rps11,Slc14a1,Prom1,Slc38a5,Ifitm3,Phlda1,Itgb7,Gm30211,H2-Eb1,Ctsh
Wfdc17,Calr,Cdca8,Slpi,4930519L02Rik,Blvrb,Rpl17,Ehd3,Hp,Hba-a1,Ly6a,Gas5,Bfsp2,Fcrla,Jaml,Hdc
Ptpn18,Igsf6,H2afz,Tyrobp,Ly6e,Rhd,Rps5,Rbpms2,Ly6c2,Sh2d4a,Hacd4,2410006H16Rik,Kcnc1,Kcnmb4os2,H2-Aa,Ltb4r1
Elane,Ap3s1,Tpx2,Unc93b1,Fgf3,Car2,Rps13,F2r,Rgcc,Gypa,Mycn,Prtn3,S100a10,Slamf7,Id2,Fcgr3
Mt1,Msrb1,Prc1,Lgals1,Cd200r3,Mt1,Rpl36,Vwf,Prss57,Hpn,Ifitm1,Aqp1,Gpr183,Eaf2,Tlr3,Myl12b
Gimap1,Trem3,Kif22,Pld4,Cd63,Epor,Rpl26,Tuba8,Ptgr1,Ermap,Mpl,Rps24,Tmsb10,Derl3,Cd74,Calr
Dntt,Gstm1,Lockd,Ccr2,Srgn,Atpif1,Rps15a,Lim2,Ms4a3,Paqr9,Plac8,Malat1,Slc45a3,Sdc1,Naaa,Rgcc
Hmgb2,Prss57,Tubb4b,Tmsb10,Mcpt8,Plac8,Rps9,Gng11,Sgms2,Lmna,Ltb,Mfsd2b,Gm43445,Chst1,Mycl,Elane
Ctsg,Pgam1,Cdca3,Cfp,Prss34,Sphk1,Rpl23a,Mpl,Fcgr3,Pklr,Tcf15,Rpl21,Csrp3,Iglc2,Pld4,Mpo
Gm19590,Cldn15,Pclaf,H2afy,Fcgr3,Abcb4,Rps19,Plek,Nucb2,Plpp1,Lmo2,Trib2,Snap47,St6gal1,Clec9a,Pde4d
Lgals1,Fcgr3,Aurkb,Bex6,Apoe,Pkm,Mpo,Cd9,Elane,Smim1,H2afz,Rps7,Gata2,Blnk,Rasgrp4,Ccdc125
Ms4a3,Gsr,Cenpf,Fcer1g,Anxa1,Smim1,Rps24,Serpina3g,G0s2,Tspan33,Malat1,Junb,Cpa3,Trp53inp1,Ciita,Anxa1
H2afz,Etfb,Ccna2,Mpeg1,Csf1,Slc25a21,mt-Nd2,Tmem40,Gstm1,Asb17os,Ptma,Rpl18a,Lgals1,Fam46c,Upb1,1700123O20Rik
Adgrg1,Pglyrp1,H2afv,Clec12a,Fam46a,Prtn3,Rps18,Tbxas1,Dmkn,Cited4,Mllt3,Mpo,Malat1,Gm5547,Tnni2,Srgn
Sox4,1700020L24Rik,H2afy,Cd63,Lpcat2,Mrpl52,Rps16,Plac8,Alas1,Epor,Uba7,Jun,Il2rg,Fam214a,Hck,Nkg7
Ifitm3,Fkbp11,Cdk1,Glipr1,Ifitm1,Samd14,Rpl18a,Prtn3,Clec12a,Tspo2,Esam,Rpl17,Il6,Cmah,Olfm1,Siglec5
Adgrl4,Malat1,Spc25,Pkib,Ikzf2,Rab4a,Rplp1,Unc119,Igsf6,Aldh1a7,Nkg7,Calr,Rps17,Tmem154,Mpeg1,Fth1
Cd27,Cst7,Spc24,Ctsh,Padi2,Fxyd5,Rpl37a,Mef2c,Prtn3,Ces2g,Slc25a5,Fos,Ifitm1,Slamf9,Kmo,Prss57
Tsc22d1,Serpinb1a,Mki67,Cnn3,Fut7,Coro1a,Rps12,Rap1b,Ctsg,Atp1b2,B2m,Gata2,Fcer1a,Oosp1,Cd300lg,Dstn
Hspa5,Gpx1,Cks1b,Plac8,Ap3s1,Mfsd2b,Rpl12,Mpo,Gsr,St3gal5,Hlf,Rps19,Fcer1g,Cd74,Phf11b,Pglyrp1
Gas5,Dbi,Kif23,Ly6c2,Fcer1g,Gata1,Rpl35,Ctla2a,Dstn,Hebp1,Hmgb2,Pkm,Klf6,Lgmn,H2-DMb2,Ap3s1
Tmem176b,Pde4d,Cdc20,Fbxw4,Myl12b,Sh3bgrl3,Ftl1,Gpx1,Mpo,Slc25a21,Krt18,Smad7,Vim,Cybb,Rnd3,Tmed3
Birc5,Car2,Hmmr,Apoe,Plac8,Alox5ap,Rpl13,Ptgs1,B4galt6,Col5a1,Gimap5,Ctsg,Prr13,Ly6a,Slamf7,Vat1
Sdf2l1,Ccl9,Racgap1,Cd52,Lgals1,Tnfaip2,Pdia6,Lgals1,Nkg7,Abcb4,Car2,H2afz,Ms4a2,Igkv3-2,Ccr2,Msrb1
Pdia6,Vat1,Hist1h1b,Pgam1,Gng12,Arpc1b,Rpl21,Ctsg,Anxa3,Klf1,Gpx1,Btg2,Srgn,Ctss,Ctsh,Serpine2
Cst7,Sem1,Incenp,Ncf1,Parvb,Epdr1,Rps27a,Lat,Cst7,Prss50,Adgrg1,Krtcap2,Crip1,Lax1,Ppfia4,Dbi
Mpo,Sdf2l1,Mis18bp1,Zfp706,Rom1,H2afy,Rps7,Samd14,C3,Fads3,Mpo,Dusp1,Cd63,Vpreb3,Ctss,Spns3
Fcgr3,Gpi1,Smc4,Prtn3,Stx3,Mpo,Rps29,Ramp1,Gfi1,Mboat2,Ppia,mt-Cytb,Papss2,Edem1,Gcsam,Ikzf2
Calr,Mif,Aurka,Sub1,Itga2b,Itm2b,Rpl39,Mfsd2b,Chst13,Cpox,Tnip3,Egr1,Lat2,Iglc1,Slc46a3,Pde6d
